統計名：,令和３年経済センサス‐活動調査 事業所に関する集計 産業横断的集計 売上（収入）金額等,,,,,,,,,,,,,,,,,,,,,,,,,
表番号：,4月1日,,,,,,,,,,,,,,,,,,,,,,,,,
表題：,産業(大分類)、単独・本所・支所別民営事業所数、従業者数及び売上（収入）金額（外国の会社及び法人でない団体を除く）－全国、都道府県、市区町村,,,,,,,,,,,,,,,,,,,,,,,,,
実施年月：,2021年,6月,,,,,,,,,,,,,,,,,,,,,,,,
市区町村時点（年月日）：,-,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
*,項目名短縮,,,,,,,,,,,,,,,,,,,,,,,,,
***,数字が得られないもの,,,,,,,,,,,,,,,,,,,,,,,,,
-,該当数字がないもの 及び 分母が０のため計算できないもの,,,,,,,,,,,,,,,,,,,,,,,,,
X,数字が秘匿されているもの,,,,,,,,,,,,,,,,,,,,,,,,,
x,数字が秘匿されているもの,,,,,,,,,,,,,,,,,,,,,,,,,
そ他,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
は用,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
グロス,単位,,,,,,,,,,,,,,,,,,,,,,,,,
ダース,単位,,,,,,,,,,,,,,,,,,,,,,,,,
デカ,単位,,,,,,,,,,,,,,,,,,,,,,,,,
プラ,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
万本,単位,,,,,,,,,,,,,,,,,,,,,,,,,
個,単位,,,,,,,,,,,,,,,,,,,,,,,,,
化学,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
千ダース,単位,,,,,,,,,,,,,,,,,,,,,,,,,
千個,単位,,,,,,,,,,,,,,,,,,,,,,,,,
千双,単位,,,,,,,,,,,,,,,,,,,,,,,,,
千本,単位,,,,,,,,,,,,,,,,,,,,,,,,,
千袋,単位,,,,,,,,,,,,,,,,,,,,,,,,,
千足,単位,,,,,,,,,,,,,,,,,,,,,,,,,
千連,単位,,,,,,,,,,,,,,,,,,,,,,,,,
千ｃｍプライ,単位,,,,,,,,,,,,,,,,,,,,,,,,,
千ｍ２,単位,,,,,,,,,,,,,,,,,,,,,,,,,
千ｍ３,単位,,,,,,,,,,,,,,,,,,,,,,,,,
印刷,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
台,単位,,,,,,,,,,,,,,,,,,,,,,,,,
導体ｔ,単位,,,,,,,,,,,,,,,,,,,,,,,,,
情報,製造品出荷額等の都道府県別順位,,,,,,,,,,,,,,,,,,,,,,,,,
本,単位,,,,,,,,,,,,,,,,,,,,,,,,,
枚,単位,,,,,,,,,,,,,,,,,,,,,,,,,
点,単位,,,,,,,,,,,,,,,,,,,,,,,,,
