"統計名：","令和３年経済センサス‐活動調査 事業所に関する集計 産業横断的集計 売上（収入）金額等"
"表番号：","5"
"表題：","産業(中分類)、事業活動別民営事業所数及び売上（収入）金額（個人、外国の会社及び法人でない団体を除く）－全国、都道府県"
"実施年月：","2021年","6月"
"市区町村時点（年月日）：","-"

"*","項目名短縮"
"***","数字が得られないもの"
"-","該当数字がないもの 及び 分母が０のため計算できないもの"
"X","数字が秘匿されているもの"
"x","数字が秘匿されているもの"
"そ他","製造品出荷額等の都道府県別順位"
"は用","製造品出荷額等の都道府県別順位"
"グロス","単位"
"ダース","単位"
"デカ","単位"
"プラ","製造品出荷額等の都道府県別順位"
"万本","単位"
"個","単位"
"化学","製造品出荷額等の都道府県別順位"
"千ダース","単位"
"千個","単位"
"千双","単位"
"千本","単位"
"千袋","単位"
"千足","単位"
"千連","単位"
"千ｃｍプライ","単位"
"千ｍ２","単位"
"千ｍ３","単位"
"印刷","製造品出荷額等の都道府県別順位"
"台","単位"
"導体ｔ","単位"
"情報","製造品出荷額等の都道府県別順位"
"本","単位"
"枚","単位"
"点","単位"
"生産","製造品出荷額等の都道府県別順位"
"畳","単位"
"着","単位"
"石油","製造品出荷額等の都道府県別順位"
"窯業","製造品出荷額等の都道府県別順位"
"紙パ","製造品出荷額等の都道府県別順位"
"総ｔ","単位"
"繊維","製造品出荷額等の都道府県別順位"
"足","単位"
"輸送","製造品出荷額等の都道府県別順位"
"連","単位"
"金属","製造品出荷額等の都道府県別順位"
"鉄鋼","製造品出荷額等の都道府県別順位"
"隻","単位"
"電子","製造品出荷額等の都道府県別順位"
"電気","製造品出荷額等の都道府県別順位"
"非鉄","製造品出荷額等の都道府県別順位"
"食料","製造品出荷額等の都道府県別順位"
"飲料","製造品出荷額等の都道府県別順位"
"２ｍｍ換算箱","単位"
"Ｋｍ","単位"
"ｇ","単位"
"ｋｇ","単位"
"ｋｌ","単位"
"ｍ","単位"
"ｍ２","単位"
"ｍ３","単位"
"ｔ","単位"
"･･･","調査していないもの"

"","","","","","","","","","","","","/表章項目 コード","102-2021","155-2021"
"","","","","","","","","","","","","/表章項目 補助コード","-","-"
"事業活動 コード","事業活動 補助コード","事業活動","地域 コード","地域 補助コード","地域","時間軸 コード","時間軸 補助コード","時間軸","産業中分類 コード","産業中分類 補助コード","産業中分類","/表章項目","事業所数【事業所】","売上（収入）金額【百万円】"
"00","","総数","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","617","101,377"
"00","","総数","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","25","X"
"00","","総数","38000","","愛媛県","2021000000","","2021年","E","","製造業","","3,276","3,933,523"
"00","","総数","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","9,511","4,104,919"
"01","","農業、林業、漁業（A～B）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","98,926"
"01","","農業、林業、漁業（A～B）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"01","","農業、林業、漁業（A～B）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","875"
"01","","農業、林業、漁業（A～B）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","5,575"
"02","","鉱物、採石、砂利採取事業（C）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","-"
"02","","鉱物、採石、砂利採取事業（C）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"02","","鉱物、採石、砂利採取事業（C）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","860"
"02","","鉱物、採石、砂利採取事業（C）","38000","","愛媛県","2021000000","","2021年","I","","卸売業，小売業","","***","0"
"03","","製造業（E）","38000","","愛媛県","2021000000","","2021年","AB","","農林漁業","","***","97"
"03","","製造業（E）","38000","","愛媛県","2021000000","","2021年","C","","鉱業，採石業，砂利採取業","","***","X"
"03","","製造業（E）","38000","","愛媛県","2021000000","","2021年","E","","製造業","","***","3,764,909"
